invoice_no,cus_no,generate_date,sended_date
PTSKW20250606-000,2019AR1,2025/06/20,2025/06/20
PTPXU20250606-002,2019AR3,2025/06/20,2025/06/20
PTNKI20250606-003,2019AR4,2025/06/20,2025/06/20
PTWTS20250606-008,2019CA1,2025/06/20,2025/06/20
PTCMA20250606-009,2019CA2,2025/06/20,2025/06/20
PTLTS20250606-010,2019CA3,2025/06/20,2025/06/20
PTCCH20250606-013,2019CA6,2025/06/20,2025/06/20
PTCHA20250606-014,2019CA7,2025/06/20,2025/06/20
PTCSI20250606-017,2019TI1,2025/06/20,2025/06/20
PTCCH20250606-019,2019TI3 ,2025/06/20,2025/06/20
PTCCH20250606-020,2019TI4,2025/06/20,2025/06/20
PTWWE20250606-022,2020OL1,2025/06/20,2025/06/20
PTSSH20250606-024,2020OL3,2025/06/20,2025/06/20
PTNKA20250606-027,2020OV3,2025/06/20,2025/06/20
PTXXI20250606-028,2020LA1,2025/06/20,2025/06/20
PTDYU20250606-029,2020LA2,2025/06/20,2025/06/20
PTLSU20250606-035,2021AL2,2025/06/20,2025/06/20
PTZYU20250606-038,2021AL5,2025/06/20,2025/06/20
PTFPU20250606-039,2021PA1,2025/06/20,2025/06/20
PTSYI20250606-047,2021FR4,2025/06/20,2025/06/20
PTPSA20250606-049,2021FR6,2025/06/20,2025/06/20
PTZHA20250606-055,2022CS3,2025/06/20,2025/06/20
PTGCH20250606-057,2022CS5,2025/06/20,2025/06/20
PTZLI20250606-059,2022CS7,2025/06/20,2025/06/20
PTDBO20250606-061,2022CS9,2025/06/20,2025/06/20
PTLHA20250606-062,2022CS10,2025/06/20,2025/06/20
PTLXI20250606-063,2022CS11,2025/06/20,2025/06/20
PTHWE20250606-064,2022CS12,2025/06/20,2025/06/20
PTSZH20250606-066,2022CS14,2025/06/20,2025/06/20
PTLJI20250606-070,2022EV1,2025/06/20,2025/06/20
PTXJI20250606-073,2023EV4,2025/06/20,2025/06/20
PTQPI20250606-078,2023CS1,2025/06/20,2025/06/20
PTDHA20250617-085,2023CS8,2025/06/20,2025/06/20
PTWQI20250606-090,2023CS13,2025/06/20,2025/06/20
PTHAN20250606-091,2023CS14,2025/06/20,2025/06/20
PTWRU20250606-093,2023CS16,2025/06/20,2025/06/20
PTWJI20250606-100,2022FV3,2025/06/20,2025/06/20
PTLXI20250606-101,2022FV4,2025/06/20,2025/06/20
PTSJU20250606-108,2022FV11,2025/06/20,2025/06/20
PTWJI20250606-111,2023FV03,2025/06/20,2025/06/20
PTGFE20250606-116,2024FU01,2025/06/20,2025/06/20
PTMPE20250606-119,2024FU04,2025/06/20,2025/06/20
PTTHU20250606-126,2024FU11,2025/06/20,2025/06/20
PTXHE20250606-127,2024FU12,2025/06/20,2025/06/20
PTZJI20250606-128,2024FU13,2025/06/20,2025/06/20
PTXJI20250606-131,2024FU16,2025/06/20,2025/06/20
PTWYI20250606-133,2024FU18,2025/06/20,2025/06/20
PTLTI20250606-137,2024FU22,2025/06/20,2025/06/20
PTHZH20250606-139,2024FU24,2025/06/20,2025/06/20
PTLXI20250606-143,2024FU28,2025/06/20,2025/06/20
PTSYI20250606-145,2024FU30,2025/06/20,2025/06/20
PTZJU20250606-147,2024FU32,2025/06/20,2025/06/20
PTYHA20250606-149,2024FU34,2025/06/20,2025/06/20
PTRQI20250606-151,2024FU36,2025/06/20,2025/06/20
PTWLA20250611-110,2025PM2,2025/06/20,2025/06/20
PTCWE20250606-068,2022CS16,2025/06/20,2025/06/20
PTSXI20250606-060,2022CS8,2025/06/20,2025/06/20
